kp,ki,kd,score,baseline_overshoot,baseline_settle,baseline_iae,baseline_bias,x_ref_only_overshoot,x_ref_only_settle,x_ref_only_iae,x_ref_only_bias,x_meas_only_overshoot,x_meas_only_settle,x_meas_only_iae,x_meas_only_bias,mixed_all_overshoot,mixed_all_settle,mixed_all_iae,mixed_all_bias
2.1854,0.5459,0.1956,576.7372,10.86,8.120000000000001,4.959,0.0423,12.85,8.46,5.042,-0.0191,15.09,-1,6.58,0.0143,0.0,-1,235.458,-18.9877
0.6748,0.0799,0.0902,577.6828,12.04,-1,12.059,0.2033,12.47,3.12,11.513,0.183,14.87,3.06,12.53,0.2173,0.0,-1,224.405,-18.526
1.3306,0.3407,0.0031,578.0739,14.04,9.18,6.467,0.0384,14.77,8.2,6.305,-0.0146,14.88,7.44,7.093,0.0209,0.0,-1,234.164,-18.9871
1.8105,0.501,0.2012,579.4308,13.0,8.36,5.703,0.039,14.65,8.120000000000001,5.712,-0.0205,15.72,9.32,7.066,0.0128,0.0,-1,235.247,-18.9938
1.2225,0.2514,0.0328,582.1718,12.34,11.02,7.059,0.0454,12.51,9.040000000000001,6.798,0.0064,13.64,10.38,7.701,0.0411,0.0,-1,232.997,-18.9498
2.1531,0.5959,0.2055,582.5805,11.91,7.76,5.037,0.0413,13.85,8.5,5.154,-0.0228,16.12,-1,6.695,0.0106,0.0,-1,235.626,-18.9947
0.935,0.1154,0.0227,583.4571,9.65,16.52,8.728,0.1138,9.51,16.52,8.272,0.0907,12.57,2.2,9.17,0.1256,0.0,-1,228.455,-18.7181
1.7394,0.5608,0.0266,585.124,15.27,7.18,5.377,0.0388,16.35,7.36,5.483,-0.0279,17.14,9.38,6.472,0.008,0.0,-1,235.511,-19.0028
1.6188,0.4961,0.031,586.8616,14.95,7.66,5.671,0.0385,16.41,8.08,5.721,-0.0254,16.7,9.4,6.621,0.0104,0.0,-1,235.237,-19.0008
1.7015,0.4919,0.242,586.9216,14.04,8.46,6.078,0.0365,15.02,8.14,6.063,-0.0212,17.35,9.3,7.542,0.0116,0.0,-1,235.201,-18.9971
1.2956,0.2233,0.0982,586.9558,10.54,12.24,7.033,0.0568,10.46,9.120000000000001,6.765,0.0246,13.32,14.32,7.765,0.059,0.0,-1,232.525,-18.9062
1.2267,0.22,0.0418,587.4188,11.05,11.96,7.088,0.0538,11.06,9.1,6.82,0.0204,12.89,14.34,7.735,0.0556,0.0,-1,232.42,-18.9156
1.7473,0.5649,0.1748,588.7262,14.95,7.6000000000000005,5.733,0.036,16.6,8.08,5.84,-0.0263,17.29,9.3,7.042,0.0073,0.0,-1,235.512,-19.0022
1.322,0.3344,0.0986,589.2198,14.13,9.64,6.862,0.0372,14.46,8.24,6.658,-0.0116,15.99,10.3,7.675,0.0219,0.0,-1,234.097,-18.9861
1.414,0.3318,0.2317,589.9083,13.29,10.36,7.045,0.0393,13.34,9.0,6.818,-0.0046,16.16,10.28,8.206,0.0281,0.0,-1,234.068,-18.9752
1.4248,0.1787,0.1848,590.1971,7.88,14.16,6.815,0.0812,7.85,9.72,6.487,0.0545,12.72,18.26,7.616,0.088,0.0,-1,231.734,-18.8138
1.4862,0.3398,0.2383,591.8353,12.66,10.34,6.808,0.0406,12.91,8.98,6.584,-0.0035,15.84,-1,8.021,0.0293,0.0,-1,234.156,-18.9714
1.2054,0.2084,0.091,592.1446,11.03,12.6,7.425,0.0592,10.43,9.68,7.158,0.0289,13.8,14.34,8.11,0.0632,0.0,-1,232.148,-18.9005
1.2766,0.1453,0.0733,593.8224,7.47,14.8,6.908,0.0895,7.39,16.48,6.531,0.0629,11.19,15.32,7.497,0.0979,0.0,-1,230.599,-18.7656
1.1963,0.2399,0.1115,594.7031,12.54,11.68,7.546,0.0484,11.9,9.14,7.298,0.0132,14.91,13.32,8.295,0.0471,0.0,-1,232.784,-18.9418
1.0824,0.3028,0.0012,597.595,16.66,9.32,7.48,0.0316,16.71,8.26,7.301,-0.0168,17.45,8.36,8.075,0.018,0.0,-1,233.735,-18.9993
1.3031,0.1443,0.1466,598.1878,7.44,15.42,7.126,0.0966,7.61,16.48,6.726,0.0705,11.98,15.3,7.751,0.1046,0.0,-1,230.637,-18.7522
1.7694,0.5939,0.2081,598.8884,15.34,7.46,5.753,0.0348,16.97,8.06,5.888,-0.027,17.82,-1,7.192,0.0062,0.0,-1,235.614,-19.0035
1.16,0.291,0.1473,599.5013,15.32,10.36,7.802,0.0344,14.51,9.040000000000001,7.576,-0.008,16.95,10.3,8.671,0.0243,0.0,-1,233.573,-18.9865
1.3586,0.5041,0.0004,601.1096,18.7,7.04,6.212,0.0303,19.91,7.36,6.364,-0.0285,19.35,7.8,7.053,0.0079,0.0,-1,235.269,-19.0076
1.283,0.2315,0.1672,601.9003,11.27,12.34,7.4,0.0561,10.65,9.64,7.147,0.0245,14.82,17.32,8.238,0.058,0.0,-1,232.656,-18.9147
1.332,0.4557,0.0725,601.9154,17.69,7.74,6.57,0.0291,18.11,8.08,6.646,-0.026,18.73,9.32,7.473,0.0086,0.0,-1,235.018,-19.0068
1.1587,0.3513,0.1323,603.6625,17.54,9.040000000000001,7.585,0.0248,17.25,8.24,7.502,-0.0214,19.02,8.3,8.523,0.0114,0.0,-1,234.257,-19.0064
1.2201,0.3418,0.2218,603.7919,16.49,9.68,7.734,0.0277,15.73,8.96,7.583,-0.0168,18.58,9.32,8.874,0.0144,0.0,-1,234.155,-19.0002
1.6134,0.5468,0.2047,604.2439,16.21,7.66,6.128,0.032,17.27,8.06,6.235,-0.0265,18.67,-1,7.514,0.0068,0.0,-1,235.443,-19.0048
0.9648,0.2934,0.0098,609.0761,18.81,9.14,8.08,0.0202,18.13,8.3,8.004,-0.0216,19.01,8.38,8.729,0.0122,0.0,-1,233.611,-19.0112
0.9875,0.2589,0.1289,614.5583,17.24,10.56,8.685,0.0262,16.44,9.16,8.491,-0.0114,19.15,10.3,9.47,0.0202,0.0,-1,233.068,-18.9986
1.0721,0.1226,0.156,614.8856,8.82,17.080000000000002,8.507,0.1206,9.12,16.54,8.032,0.0975,13.1,15.32,9.066,0.13,0.0,-1,229.27,-18.7047
1.1358,0.3765,0.2369,615.1167,19.39,8.86,7.96,0.0061,18.28,8.26,8.09,-0.026,21.39,8.26,9.347,0.004,0.0,-1,234.476,-19.015
0.9622,0.1057,0.058,615.4389,8.77,17.56,8.686,0.127,9.05,16.56,8.189,0.104,11.98,16.3,9.161,0.1381,0.0,-1,228.038,-18.6615
1.4611,0.5305,0.2394,616.5622,18.08,7.62,6.599,0.022,18.48,8.06,6.786,-0.027,21.08,-1,8.148,0.0054,0.0,-1,235.371,-19.0077
0.8435,0.2182,0.0064,617.6714,17.94,10.74,9.098,0.0255,17.0,9.3,8.894,-0.0102,18.7,10.42,9.671,0.0229,0.0,-1,232.231,-19.0002
1.0136,0.2841,0.1813,619.622,18.09,10.16,8.686,0.0185,17.31,9.1,8.543,-0.0178,20.38,10.28,9.663,0.0129,0.0,-1,233.461,-19.0083
0.8515,0.1593,0.0099,630.3709,14.08,13.4,9.304,0.0638,13.68,15.700000000000001,9.013,0.0379,16.26,14.42,9.788,0.072,0.0,-1,230.355,-18.9026
0.8453,0.2056,0.0662,631.3055,17.48,11.46,9.507,0.0302,16.84,10.700000000000001,9.295,-0.0019,19.55,13.3,10.112,0.0299,0.0,-1,231.895,-18.9897
0.9104,0.1486,0.0977,632.6204,12.64,14.76,9.417,0.0864,12.41,16.46,9.052,0.0639,15.91,15.3,9.963,0.0973,0.0,-1,229.972,-18.8427
0.9021,0.302,0.1574,635.8549,21.58,9.28,9.287,-0.0239,20.71,8.94,9.226,-0.0311,23.15,9.32,10.153,-0.0018,0.0,-1,233.724,-19.0294
0.9538,0.1524,0.1858,636.1503,12.54,15.16,9.614,0.094,12.3,16.48,9.229,0.0725,16.71,15.280000000000001,10.281,0.1039,0.0,-1,230.183,-18.8314
0.8834,0.2509,0.1893,636.458,19.75,10.6,9.645,0.0016,19.12,9.66,9.553,-0.0232,22.96,10.3,10.621,0.0058,0.0,-1,232.922,-19.0233
1.2318,0.5771,0.2432,636.5085,23.52,6.78,7.676,-0.0463,23.81,7.22,7.75,-0.0267,26.18,7.72,8.959,0.0056,0.0,-1,235.542,-19.0075
0.9402,0.3144,0.2382,639.6152,21.58,9.44,9.469,-0.0289,20.7,9.0,9.352,-0.0331,24.27,9.3,10.495,-0.0052,0.0,-1,233.875,-19.0319
0.9707,0.4297,0.1651,641.5764,25.03,7.5200000000000005,8.757,-0.0268,23.98,7.46,8.971,-0.0262,25.55,7.34,9.728,0.0048,0.0,-1,234.865,-19.014
0.7741,0.1444,0.0183,642.0658,14.92,13.94,10.114,0.071,14.51,15.72,9.785,0.0473,17.26,15.32,10.606,0.0811,0.0,-1,229.578,-18.8924
1.127,0.5715,0.0996,642.3127,25.37,6.26,7.469,-0.0318,25.54,6.54,7.669,-0.0263,26.18,8.8,8.375,0.0088,0.0,-1,235.523,-19.0055
0.6436,0.1503,0.0038,654.114,19.32,12.66,11.324,0.031,18.54,12.32,11.137,0.0074,21.23,13.42,11.92,0.0391,0.0,-1,229.777,-18.9948
0.7392,0.3045,0.0094,655.7327,26.29,8.22,9.944,-0.0274,25.19,8.18,10.086,-0.0318,26.45,8.28,10.377,-0.0012,0.0,-1,233.78,-19.0288
0.7209,0.1211,0.078,656.6354,14.81,15.700000000000001,11.265,0.1084,14.78,16.5,10.871,0.0886,17.65,16.22,11.804,0.1215,0.0,-1,228.101,-18.817
0.667,0.1677,0.0648,657.7987,20.35,12.18,11.391,0.0114,19.56,11.6,11.2,-0.0093,22.58,13.3,12.078,0.0207,0.0,-1,230.587,-19.0223
0.7738,0.3215,0.0914,658.6772,26.31,8.36,10.118,-0.0285,25.3,8.22,10.241,-0.0341,27.16,8.28,10.667,-0.0047,0.0,-1,233.979,-19.0311
0.7456,0.1613,0.168,659.1548,17.96,13.46,11.359,0.0521,17.46,14.02,11.115,0.0288,21.19,14.280000000000001,12.161,0.0592,0.0,-1,230.295,-18.9564
0.7489,0.1665,0.2419,667.7614,18.74,13.52,11.794,0.0481,18.36,14.0,11.594,0.0262,22.79,14.26,12.763,0.0546,0.0,-1,230.49,-18.9681
0.9183,0.4921,0.1272,670.9275,28.77,6.72,8.829,-0.0017,28.25,6.7,9.262,-0.0193,29.42,10.78,9.903,0.0134,0.0,-1,235.207,-19.0028
0.8844,0.5362,0.0498,673.5954,31.33,6.1000000000000005,8.827,0.017,31.31,6.04,9.144,-0.0189,31.66,6.42,9.56,0.0168,0.0,-1,235.395,-18.9997
0.6542,0.277,0.042,674.751,28.41,8.68,11.31,-0.0347,27.03,8.42,11.402,-0.0446,28.67,8.44,11.676,-0.0165,0.0,-1,233.422,-19.0481
0.9431,0.5297,0.2419,678.6436,29.74,6.82,9.373,0.0104,28.68,6.76,9.75,-0.0155,30.61,10.78,10.642,0.0149,0.0,-1,235.369,-18.9998
0.8441,0.5008,0.0714,687.611,31.51,6.4,9.37,0.0217,31.1,6.5,9.665,-0.0153,31.73,10.8,10.125,0.0194,0.0,-1,235.244,-18.9981
0.8518,0.5015,0.1396,688.1605,31.46,6.640000000000001,9.745,0.0248,30.52,6.640000000000001,10.018,-0.0129,31.59,10.8,10.628,0.0195,0.0,-1,235.25,-18.9963
0.7381,0.4129,0.1063,689.9621,32.21,7.22,10.875,0.0248,30.89,7.3,11.105,-0.0104,32.51,7.68,11.481,0.0197,0.0,-1,234.762,-18.9972
0.8948,0.5094,0.2483,691.754,30.69,6.96,9.948,0.0188,29.0,7.08,10.258,-0.0132,31.6,13.22,11.102,0.0166,0.0,-1,235.291,-18.9982
0.6086,0.295,0.1127,706.9106,32.14,8.620000000000001,12.879,-0.0339,31.15,8.44,12.838,-0.0498,33.41,8.4,13.165,-0.025,0.0,-1,233.672,-19.0478
0.6004,0.2349,0.2317,714.9883,29.46,10.34,14.038,-0.1028,28.48,9.96,13.763,-0.1137,32.74,10.28,14.529,-0.0913,0.0,-1,232.782,-19.1513
0.7599,0.5177,0.1134,722.8117,35.67,10.58,10.735,0.032,34.47,11.08,11.035,-0.0042,35.1,6.48,11.464,0.0294,0.0,-1,235.331,-18.9874
0.7738,0.563,0.1586,731.5484,36.89,10.44,10.882,0.0289,35.78,11.0,11.221,-0.0025,36.69,6.38,11.728,0.031,0.0,-1,235.507,-18.9861
0.7118,0.5151,0.0724,735.574,37.67,10.46,11.122,0.0285,36.49,11.0,11.452,-0.0012,36.84,6.44,11.781,0.0331,0.0,-1,235.325,-18.9858
