kp,ki,kd,score,baseline_overshoot,baseline_settle,baseline_iae,baseline_bias,x_ref_only_overshoot,x_ref_only_settle,x_ref_only_iae,x_ref_only_bias,x_meas_only_overshoot,x_meas_only_settle,x_meas_only_iae,x_meas_only_bias,mixed_all_overshoot,mixed_all_settle,mixed_all_iae,mixed_all_bias
1.1722,0.0657,0.0404,514.0542,4.22,2.12,6.568,0.1131,5.37,2.1,6.057,0.0873,8.04,15.38,7.075,0.1222,0.0,-1,226.877,-18.461
2.8694,0.1264,0.1454,516.3447,3.38,1.92,3.127,0.0497,5.03,7.3,3.674,0.0134,10.87,-1,6.104,0.0454,0.0,-1,232.936,-18.7541
2.4696,0.1623,0.0324,516.9314,5.35,5.74,3.611,0.053,6.64,4.86,3.813,0.0187,9.93,9.4,5.559,0.0519,0.0,-1,232.809,-18.7859
2.5828,0.1266,0.063,517.8425,4.37,2.2,3.337,0.0509,5.75,7.32,3.698,0.0163,9.92,-1,5.661,0.049,0.0,-1,232.524,-18.746
2.3504,0.1231,0.185,518.6744,2.59,6.5200000000000005,3.878,0.0604,5.03,4.84,3.941,0.0298,10.27,-1,5.958,0.0626,0.0,-1,232.22,-18.7225
2.6709,0.1296,0.0678,518.7464,4.56,2.08,3.259,0.0502,5.89,7.32,3.676,0.0146,10.14,-1,5.746,0.0472,0.0,-1,232.677,-18.7529
2.9431,0.1561,0.164,519.9731,3.59,2.2,3.209,0.0506,5.31,7.32,3.711,0.0151,11.36,-1,6.24,0.047,0.0,-1,233.311,-18.7842
1.3772,0.0905,0.1627,520.9657,4.6,2.02,6.419,0.109,5.79,2.02,5.942,0.0827,9.78,15.3,7.093,0.1164,0.0,-1,229.105,-18.5821
1.2429,0.0775,0.1317,521.1875,4.68,2.18,6.811,0.1183,5.83,2.12,6.288,0.0929,9.31,15.32,7.394,0.1266,0.0,-1,227.971,-18.518
2.6736,0.1671,0.1038,521.5057,4.35,5.0200000000000005,3.475,0.0525,5.86,4.84,3.775,0.0184,10.72,-1,5.871,0.0508,0.0,-1,233.117,-18.7906
2.8454,0.1496,0.0664,522.8613,5.41,1.98,3.17,0.0497,6.43,7.32,3.665,0.0122,10.67,-1,5.92,0.0445,0.0,-1,233.099,-18.7804
1.8423,0.2133,0.0072,523.3149,6.47,10.76,4.885,0.0574,8.08,8.16,4.683,0.0232,10.01,1.08,5.72,0.0586,0.0,-1,232.821,-18.8517
2.7011,0.1882,0.1738,526.3887,3.63,6.9,3.636,0.0546,5.85,4.86,3.871,0.0213,11.33,-1,6.11,0.0537,0.0,-1,233.378,-18.8068
2.0053,0.2719,0.0749,527.1891,6.86,10.24,4.826,0.0524,8.74,8.16,4.686,0.0144,10.93,1.26,5.906,0.0488,0.0,-1,233.672,-18.8949
2.784,0.2123,0.1145,528.9964,4.98,6.38,3.52,0.0518,6.51,4.86,3.817,0.0158,11.33,-1,6.021,0.0483,0.0,-1,233.648,-18.831
1.6787,0.1612,0.0525,530.0951,5.37,12.48,5.298,0.0716,6.93,1.28,4.969,0.0419,9.79,10.36,6.097,0.077,0.0,-1,231.723,-18.7802
1.9447,0.1491,0.0692,531.0096,4.17,10.78,4.575,0.0669,6.15,3.16,4.371,0.0361,9.54,13.34,5.664,0.0708,0.0,-1,231.924,-18.757
2.4534,0.3046,0.1404,531.1034,5.94,9.26,4.229,0.0509,7.87,3.16,4.268,0.0117,11.76,9.36,6.011,0.0447,0.0,-1,234.194,-18.8972
2.7098,0.2337,0.0815,533.369,5.85,7.08,3.622,0.0513,7.24,4.86,3.865,0.014,11.17,-1,5.904,0.0467,0.0,-1,233.773,-18.8494
2.3507,0.1728,0.245,533.9158,3.52,10.14,4.295,0.0649,5.88,8.120000000000001,4.203,0.0346,11.35,9.32,6.307,0.0671,0.0,-1,232.883,-18.7814
1.2207,0.0896,0.2298,534.2186,5.78,2.36,7.608,0.1334,6.82,2.24,7.06,0.1086,11.05,15.3,8.262,0.1414,0.0,-1,228.488,-18.5541
1.913,0.1467,0.2414,535.2334,4.25,13.1,5.184,0.0804,5.66,1.46,4.853,0.0515,11.06,-1,6.579,0.0845,0.0,-1,231.905,-18.7377
1.7184,0.2903,0.0215,535.556,8.89,10.18,5.366,0.0484,10.58,8.18,5.192,0.0059,11.0,1.12,6.149,0.0415,0.0,-1,233.732,-18.9285
2.1468,0.1717,0.0122,537.1972,5.31,8.84,4.121,0.0574,6.18,8.120000000000001,4.096,0.0244,9.57,-1,5.422,0.0588,0.0,-1,232.547,-18.7951
0.7507,0.0358,0.0515,537.4005,5.26,3.42,9.446,0.1833,5.77,3.66,8.959,0.1616,7.84,19.34,9.971,0.1957,0.0,-1,220.141,-18.023
0.9116,0.0424,0.1852,537.4671,4.82,3.2600000000000002,8.776,0.1667,5.56,3.6,8.293,0.1442,8.78,19.2,9.343,0.1767,0.0,-1,223.411,-18.1737
1.2134,0.0979,0.0211,538.4504,5.62,16.48,6.691,0.1062,6.32,9.64,6.235,0.0798,9.3,2.3000000000000003,7.171,0.1151,0.0,-1,228.649,-18.6207
2.9418,0.2964,0.0956,538.5045,6.79,6.94,3.527,0.0493,7.93,4.86,3.867,0.0076,11.98,-1,6.167,0.04,0.0,-1,234.365,-18.8854
2.3992,0.2477,0.1035,538.8103,5.42,9.16,4.123,0.0536,7.06,8.92,4.157,0.0176,11.07,9.38,5.823,0.0509,0.0,-1,233.68,-18.8617
1.6273,0.1651,0.0121,539.24,5.78,12.280000000000001,5.331,0.069,7.39,8.2,5.018,0.039,9.67,7.4,6.041,0.0744,0.0,-1,231.714,-18.7924
2.932,0.2375,0.1003,540.8762,5.92,5.94,3.412,0.0503,7.14,8.92,3.788,0.0119,11.66,-1,6.132,0.0441,0.0,-1,233.953,-18.8504
2.4939,0.1995,0.2002,542.1857,3.74,9.16,4.036,0.0585,6.27,8.92,4.082,0.0266,11.41,-1,6.12,0.0592,0.0,-1,233.307,-18.8136
2.6031,0.2359,0.1267,542.5292,4.92,8.26,3.837,0.0532,6.53,8.92,3.986,0.0176,11.33,-1,5.954,0.0504,0.0,-1,233.723,-18.8488
2.3958,0.3018,0.1338,542.6954,6.04,9.4,4.301,0.0511,7.98,8.14,4.315,0.0119,11.67,9.38,5.981,0.0451,0.0,-1,234.145,-18.8976
2.2626,0.2714,0.1333,542.8588,5.78,9.94,4.469,0.0536,7.9,8.14,4.412,0.0168,11.43,9.38,5.955,0.0504,0.0,-1,233.823,-18.8816
2.4003,0.2868,0.0446,542.9286,7.05,8.68,4.093,0.0502,8.32,8.92,4.154,0.0094,10.88,9.42,5.711,0.0427,0.0,-1,234.027,-18.8925
2.3576,0.2705,0.1882,542.9612,5.31,10.06,4.429,0.0547,7.69,8.14,4.385,0.0194,11.88,9.36,6.151,0.0526,0.0,-1,233.872,-18.875
2.8407,0.2603,0.2179,544.1391,4.21,8.2,3.748,0.0529,6.69,8.92,3.977,0.0173,12.31,-1,6.388,0.0492,0.0,-1,234.079,-18.8591
1.985,0.238,0.2441,544.4517,6.15,11.96,5.302,0.0632,7.63,1.3,5.036,0.032,12.39,-1,6.73,0.0655,0.0,-1,233.288,-18.8562
2.5654,0.2593,0.1238,545.421,5.32,8.64,3.943,0.0525,6.91,8.92,4.058,0.0156,11.44,-1,5.948,0.0485,0.0,-1,233.897,-18.8665
2.7497,0.284,0.1468,545.8877,5.38,8.18,3.792,0.0511,6.99,8.92,3.995,0.0126,11.93,-1,6.135,0.045,0.0,-1,234.194,-18.8785
2.3594,0.3306,0.0474,546.3627,7.74,8.72,4.231,0.0483,8.93,8.9,4.272,0.0037,11.09,9.42,5.763,0.0369,0.0,-1,234.357,-18.9192
2.2572,0.3093,0.1544,546.6631,6.41,9.88,4.594,0.0511,8.59,8.14,4.532,0.0114,11.86,9.36,6.089,0.0452,0.0,-1,234.145,-18.906
0.9462,0.0707,0.0771,547.1491,6.53,2.58,8.552,0.1537,7.39,2.6,7.978,0.1302,10.06,19.22,9.046,0.1645,0.0,-1,225.739,-18.4466
2.8025,0.301,0.133,547.3718,5.87,7.92,3.74,0.0501,7.48,8.92,3.974,0.01,12.01,-1,6.145,0.0423,0.0,-1,234.333,-18.8879
2.233,0.2566,0.0785,547.7339,6.01,9.64,4.367,0.0533,7.62,8.14,4.327,0.0166,10.84,-1,5.75,0.0503,0.0,-1,233.657,-18.8742
2.1334,0.2234,0.1369,548.9463,5.16,10.68,4.617,0.0591,7.35,8.16,4.477,0.0262,11.06,-1,5.962,0.0601,0.0,-1,233.234,-18.8442
1.5713,0.2085,0.0136,549.2799,7.44,11.76,5.637,0.0598,8.91,9.0,5.365,0.0274,10.45,7.42,6.322,0.0629,0.0,-1,232.49,-18.8621
1.858,0.2261,0.0846,549.368,6.33,11.24,5.101,0.0588,8.22,8.18,4.872,0.0254,10.76,10.34,6.075,0.0604,0.0,-1,233.026,-18.8601
2.7743,0.2982,0.055,549.5215,7.5,7.3,3.655,0.0492,8.54,8.92,3.918,0.0066,11.47,-1,5.947,0.0391,0.0,-1,234.298,-18.8907
1.9355,0.1956,0.1296,550.7863,5.22,11.66,4.963,0.0651,7.14,8.18,4.708,0.0342,10.78,-1,6.102,0.0685,0.0,-1,232.675,-18.8182
2.2612,0.4054,0.0727,550.9822,8.77,8.620000000000001,4.511,0.0458,9.78,8.46,4.533,-0.0059,11.64,9.4,5.964,0.0275,0.0,-1,234.817,-18.9539
2.3322,0.3884,0.1912,551.3826,7.43,9.32,4.637,0.047,9.67,8.14,4.63,0.0008,12.57,9.34,6.299,0.0344,0.0,-1,234.718,-18.9405
2.9971,0.3535,0.0902,551.9056,7.71,7.08,3.56,0.0483,8.65,8.92,3.924,0.0024,12.29,-1,6.237,0.0346,0.0,-1,234.727,-18.9119
2.2389,0.416,0.0575,552.4221,9.22,8.48,4.525,0.0456,10.04,8.48,4.552,-0.0079,11.76,9.4,5.953,0.0256,0.0,-1,234.876,-18.9586
2.1141,0.5481,0.2352,552.4945,11.38,8.22,5.175,0.0414,13.45,8.1,5.245,-0.0194,15.62,1.02,6.813,0.0138,0.0,-1,235.454,-18.9896
2.4527,0.3196,0.1948,552.5913,5.86,9.6,4.369,0.0511,8.23,8.14,4.379,0.0119,12.28,-1,6.219,0.0447,0.0,-1,234.308,-18.9034
2.0807,0.3857,0.0194,552.9153,9.6,8.68,4.685,0.0455,10.2,8.120000000000001,4.662,-0.0068,11.6,9.44,5.904,0.0273,0.0,-1,234.661,-18.9561
2.7407,0.3764,0.1835,552.93,6.22,8.58,4.015,0.0483,8.15,8.92,4.18,0.0038,12.61,-1,6.298,0.0363,0.0,-1,234.768,-18.9231
2.9301,0.3898,0.1316,553.1195,7.13,7.7,3.732,0.0479,8.64,8.92,4.02,0.0007,12.55,-1,6.286,0.0329,0.0,-1,234.892,-18.9258
0.9291,0.073,0.1105,553.2666,7.04,2.68,8.966,0.1623,7.88,2.7,8.389,0.1395,10.76,19.22,9.466,0.1732,0.0,-1,225.816,-18.4535
2.8824,0.317,0.0367,553.5955,8.49,6.82,3.553,0.0485,8.96,8.92,3.899,0.0036,12.59,-1,6.021,0.0358,0.0,-1,234.468,-18.8994
2.7545,0.2917,0.0062,554.2067,8.75,6.86,3.604,0.0488,9.21,8.92,3.9,0.0051,12.51,-1,5.85,0.0378,0.0,-1,234.244,-18.89
2.9527,0.3944,0.0876,554.7701,8.19,7.32,3.655,0.0477,9.2,8.92,3.99,-0.0013,12.34,-1,6.213,0.031,0.0,-1,234.922,-18.9285
2.5834,0.3504,0.2232,555.0458,5.9,9.3,4.273,0.0498,8.37,8.94,4.336,0.0087,12.7,-1,6.363,0.0414,0.0,-1,234.558,-18.9139
2.1066,0.3757,0.1702,555.3615,8.28,9.58,4.984,0.0464,10.4,8.16,4.918,0.0002,12.42,9.36,6.367,0.0337,0.0,-1,234.584,-18.9458
2.8234,0.4278,0.2254,555.6161,6.42,8.48,4.043,0.0474,8.65,8.92,4.233,-0.0004,13.15,-1,6.499,0.0319,0.0,-1,235.049,-18.9385
1.8397,0.2788,0.1166,556.4752,7.7,10.8,5.334,0.0524,9.5,8.2,5.133,0.0146,11.66,10.32,6.376,0.0492,0.0,-1,233.658,-18.9075
2.9642,0.473,0.2429,556.5836,6.6,8.16,3.949,0.0468,8.8,8.92,4.204,-0.0037,13.52,-1,6.651,0.0283,0.0,-1,235.262,-18.9477
2.5975,0.424,0.159,556.6344,7.37,8.5,4.206,0.0466,9.02,8.9,4.323,-0.0031,12.48,-1,6.205,0.03,0.0,-1,234.981,-18.9455
2.6984,0.3684,0.0371,556.9071,8.79,7.640000000000001,3.826,0.0477,9.8,8.92,4.052,-0.001,12.06,-1,5.908,0.0319,0.0,-1,234.713,-18.9263
0.9049,0.0907,0.2262,557.1548,9.29,-1,10.213,0.1774,10.02,2.82,9.635,0.1554,13.79,3.12,10.738,0.1877,0.0,-1,226.916,-18.5458
2.0701,0.3033,0.128,557.2539,7.07,10.16,4.877,0.0508,9.15,8.16,4.758,0.0111,11.66,-1,6.115,0.0449,0.0,-1,234.012,-18.9115
2.4013,0.3945,0.179,557.3206,7.31,9.120000000000001,4.504,0.047,9.45,8.120000000000001,4.525,0.0001,12.47,-1,6.237,0.0334,0.0,-1,234.769,-18.9406
1.9187,0.53,0.2048,557.8725,12.6,8.18,5.474,0.0398,14.46,8.1,5.519,-0.0213,15.84,1.08,6.898,0.0121,0.0,-1,235.378,-18.994
2.9638,0.5116,0.2015,557.9935,7.48,7.8,3.913,0.0464,9.27,8.92,4.195,-0.0084,13.33,-1,6.547,0.0236,0.0,-1,235.406,-18.9582
