t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
3.200000000000000067e-01,5.298481401021144954e+00,1.204440923829342536e+00,1.204440923829342536e+00,1.204440923829342536e+00,5.023656512146173370e+00,5.023656512146173370e+00,5.177839736029803852e+00,4.094040477191802196e+00,5.327032281442101613e+00,7.234567412952720537e-03,-1.564271128252507637e-01
3.400000000000000244e-01,5.100924096841007227e+00,1.304459878441677656e+00,1.304459878441677656e+00,1.304459878441677656e+00,5.000947730616755571e+00,5.000947730616755571e+00,4.796568696851994495e+00,3.796464218399329571e+00,4.948533629724813920e+00,7.569664965831723880e-03,-1.595345978386513708e-01
3.599999999999999867e-01,5.038677796132543740e+00,1.403654665403359481e+00,1.403654665403359481e+00,1.403654665403359481e+00,4.959739348084095667e+00,4.959739348084095667e+00,4.588863905290154754e+00,3.635023130729184260e+00,4.742456755467400420e+00,7.890807706753138334e-03,-1.614836578839988490e-01
3.800000000000000044e-01,5.225790075111090616e+00,1.502329761503383487e+00,1.502329761503383487e+00,1.502329761503383487e+00,4.933754805001195010e+00,4.933754805001195010e+00,4.699893917255089981e+00,3.723460313607707128e+00,4.854111970328818693e+00,8.219511351988003506e-03,-1.624375644257167461e-01
4.000000000000000222e-01,5.211196104414275609e+00,1.600249252466201977e+00,1.600249252466201977e+00,1.600249252466201977e+00,4.895974548140925364e+00,4.895974548140925364e+00,4.555952236398497668e+00,3.610946851948073633e+00,4.710260255496833359e+00,8.538473857478339618e-03,-1.628464929558136876e-01
4.199999999999999845e-01,4.838529851864156406e+00,1.696294148084050324e+00,1.696294148084050324e+00,1.696294148084050324e+00,4.802244780892420906e+00,4.802244780892420906e+00,3.958676875655876337e+00,3.142235703780106082e+00,4.112616361235402529e+00,8.816965989026563297e-03,-1.627564515685531732e-01
4.400000000000000022e-01,4.884350922720223309e+00,1.790526880877201688e+00,1.790526880877201688e+00,1.790526880877201688e+00,4.711636639657569958e+00,4.711636639657569958e+00,3.896163368543909655e+00,3.093824041843021622e+00,4.048832103787940007e+00,9.091138871645273664e-03,-1.617598741156756892e-01
4.600000000000000200e-01,4.792454159318194407e+00,1.882659614661889247e+00,1.882659614661889247e+00,1.882659614661889247e+00,4.606636689234381521e+00,4.606636689234381521e+00,3.661637135425689582e+00,2.909794544656305160e+00,3.812447643620060944e+00,9.349304617591199656e-03,-1.601598128119623710e-01
4.799999999999999822e-01,4.974281779393985303e+00,1.973135037793988911e+00,1.973135037793988911e+00,1.973135037793988911e+00,4.523771156604980526e+00,4.523771156604980526e+00,3.777981362940372456e+00,3.001146741599996393e+00,3.926360149209762174e+00,9.615184123758160548e-03,-1.579939703931480532e-01
5.000000000000000000e-01,5.023447939163325771e+00,2.062019163324433357e+00,2.062019163324433357e+00,2.062019163324433357e+00,4.444206276522217003e+00,4.444206276522217003e+00,3.728122355777344854e+00,2.961428775838892413e+00,3.873897384739057870e+00,9.877511033275923960e-03,-1.556525399949892641e-01
5.200000000000000178e-01,4.770362365223665968e+00,2.148607846746733330e+00,2.148607846746733330e+00,2.148607846746733330e+00,4.329434171114996843e+00,4.329434171114996843e+00,3.296485222450010966e+00,2.621754518476932638e+00,3.439595866412025416e+00,1.011042854863925845e-02,-1.532210725106538107e-01
5.400000000000000355e-01,4.702135393650016759e+00,2.232743530029569268e+00,2.232743530029569268e+00,2.232743530029569268e+00,4.206784164141804894e+00,4.206784164141804894e+00,3.102934101383080012e+00,2.469391863620447491e+00,3.242979984567170071e+00,1.033003191767294104e-02,-1.503759151017630413e-01
5.600000000000000533e-01,4.764864267704974843e+00,2.314624001824727273e+00,2.314624001824727273e+00,2.314624001824727273e+00,4.094023589757903814e+00,4.094023589757903814e+00,3.079178420302791874e+00,2.450240265880247570e+00,3.215793336847764916e+00,1.054779430111302610e-02,-1.471627108460864253e-01
5.799999999999999600e-01,4.766574484510113230e+00,2.394278317245383203e+00,2.394278317245383203e+00,2.394278317245383203e+00,3.982715771032794727e+00,3.982715771032794727e+00,2.980945402506815167e+00,2.372296167264730027e+00,3.113977113010440334e+00,1.075866204262396902e-02,-1.437903725462491844e-01
5.999999999999999778e-01,4.463296262097675715e+00,2.470963737679346295e+00,2.470963737679346295e+00,2.470963737679346295e+00,3.834271021698158588e+00,3.834271021698158588e+00,2.498268277686431560e+00,1.992332524418329420e+00,2.627652789962411362e+00,1.093659758588126640e-02,-1.403211098618610819e-01
6.199999999999999956e-01,4.510900551265379477e+00,2.544911451408166325e+00,2.544911451408166325e+00,2.544911451408166325e+00,3.697385686441012176e+00,3.697385686441012176e+00,2.465417669126695355e+00,1.965989099857213152e+00,2.590719753254262070e+00,1.111203215184966564e-02,-1.364141162794163809e-01
6.400000000000000133e-01,4.816816937731197790e+00,2.616993016845747366e+00,2.616993016845747366e+00,2.616993016845747366e+00,3.604078271879048945e+00,3.604078271879048945e+00,2.764311540821379420e+00,2.199823920885450423e+00,2.885319967630250115e+00,1.130741602367344584e-02,-1.323158428325438285e-01
6.600000000000000311e-01,4.399213079077922472e+00,2.686159150652396743e+00,2.686159150652396743e+00,2.686159150652396743e+00,3.458306690332463074e+00,3.458306690332463074e+00,2.146362456413191566e+00,1.713053928425525729e+00,2.263419479034862292e+00,1.146068694902541325e-02,-1.285177095706960260e-01
6.800000000000000488e-01,4.625413167547379523e+00,2.753108816944212833e+00,2.753108816944212833e+00,2.753108816944212833e+00,3.347483314590807613e+00,3.347483314590807613e+00,2.350072932915908464e+00,1.872304350603166689e+00,2.462852601456628321e+00,1.162746279447838225e-02,-1.244071313351986091e-01
7.000000000000000666e-01,4.450197989920360087e+00,2.817456818079637770e+00,2.817456818079637770e+00,2.817456818079637770e+00,3.217400056771236638e+00,3.217400056771236638e+00,2.046650736395097869e+00,1.632741171840722316e+00,2.155303249679707100e+00,1.177341246335433106e-02,-1.204259257479634443e-01
7.199999999999999734e-01,4.545191590123404346e+00,2.879549622512640461e+00,2.879549622512640461e+00,2.879549622512640461e+00,3.104640221650144749e+00,3.104640221650144749e+00,2.089801705560317302e+00,1.665641967610763885e+00,2.194223160495583524e+00,1.192199765375009414e-02,-1.163434525890160304e-01
7.399999999999999911e-01,4.558682682977513778e+00,2.939497552015277737e+00,2.939497552015277737e+00,2.939497552015277737e+00,2.997396475131869575e+00,2.997396475131869575e+00,2.032202756467392568e+00,1.619185130962236041e+00,2.132498986790388962e+00,1.206640309695007282e-02,-1.123626334199465671e-01
7.600000000000000089e-01,4.739132171902752155e+00,2.997829187020941699e+00,2.997829187020941699e+00,2.997829187020941699e+00,2.916581750283190555e+00,2.916581750283190555e+00,2.189249226645077151e+00,1.741302984881810456e+00,2.285535967257092516e+00,1.222117167426039520e-02,-1.085079122862759593e-01
