t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
5.600000000000000533e-01,2.563295899199633965e+00,2.563295899199633965e+00,4.710838547251598563e+00,3.796381307618097445e+00,2.436704100800366035e+00,3.796381307618097445e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.799999999999999600e-01,2.655401105352563906e+00,2.655401105352563906e+00,4.605260307646493523e+00,3.655056151200549053e+00,2.344598894647436094e+00,3.655056151200549053e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,2.745329587574143027e+00,2.745329587574143027e+00,4.496424111078959562e+00,3.516898341971153918e+00,2.254670412425856973e+00,3.516898341971153918e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.199999999999999956e-01,2.833029232810841958e+00,2.833029232810841958e+00,4.384982261834942108e+00,3.382005618638785460e+00,2.166970767189158042e+00,3.382005618638785460e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-01,2.918459825825438170e+00,2.918459825825438170e+00,4.271529650729821270e+00,3.250456150783737286e+00,2.081540174174561830e+00,3.250456150783737286e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-01,3.001591980061098841e+00,3.001591980061098841e+00,4.156607711783023795e+00,3.122310261261842967e+00,1.998408019938901159e+00,3.122310261261842967e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,3.082406142933010074e+00,3.082406142933010074e+00,4.040708143595556301e+00,2.997612029908351516e+00,1.917593857066989926e+00,2.997612029908351516e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,3.160891671088930988e+00,3.160891671088930988e+00,3.924276407796049249e+00,2.876390785600484890e+00,1.839108328911069012e+00,2.876390785600484890e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.199999999999999734e-01,3.237045971415993151e+00,3.237045971415993151e+00,3.807715016353104609e+00,2.758662493366603741e+00,1.762954028584006849e+00,2.758662493366603741e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999911e-01,3.310873703796100909e+00,3.310873703796100909e+00,3.691386619005394998e+00,2.644431042876010274e+00,1.689126296203899091e+00,2.644431042876010274e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000000089e-01,3.382386041826809908e+00,3.382386041826809908e+00,3.575616901535440206e+00,2.533689444305848859e+00,1.617613958173190092e+00,2.533689444305848859e+00,0.000000000000000000e+00,0.000000000000000000e+00
