t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
2.200000000000000011e-01,5.000000000000000000e+00,6.362766290037276118e-01,6.267647386325515546e-01,6.267647386325515546e-01,3.748346763866745590e+00,3.748346763866745590e+00,4.496021487697489327e+00,4.363723370996272166e+00,4.698929151065728504e+00,4.517823345079629606e-03,-2.074254867133191182e-01
2.399999999999999911e-01,5.000000000000000000e+00,1.196512087250073186e+00,7.056993523111232403e-01,7.056993523111232403e-01,3.946730683928586725e+00,3.946730683928586725e+00,5.732185964485156049e+00,3.803487912749926814e+00,5.541928681165265935e+00,4.893103554985308787e-03,1.853641797649046574e-01
2.600000000000000089e-01,5.000000000000000000e+00,1.528254718618738739e+00,7.861133196625110786e-01,7.861133196625110786e-01,4.020698367569392140e+00,4.020698367569392140e+00,4.686407520336641319e+00,3.471745281381261261e+00,4.830429649192407027e+00,5.220203515481802725e-03,-1.492423323712467886e-01
2.800000000000000266e-01,5.000000000000000000e+00,1.689067804452086374e+00,8.667758059145249661e-01,8.667758059145249661e-01,4.033124312600694594e+00,4.033124312600694594e+00,4.144957817882414908e+00,3.310932195547913626e+00,4.409116507354202241e+00,5.518773609680590990e-03,-2.696774630814682272e-01
2.999999999999999889e-01,5.000000000000000000e+00,2.055525497273306357e+00,9.472557000637821245e-01,9.472557000637821245e-01,4.023994707462856368e+00,4.023994707462856368e+00,3.941828261222313223e+00,2.944474502726693643e+00,4.204883888345850806e+00,5.803513778497711335e-03,-2.688591409020348877e-01
3.200000000000000067e-01,5.000000000000000000e+00,1.337332578254171844e+00,1.026437288852898089e+00,1.026437288852898089e+00,3.959079439455794880e+00,3.959079439455794880e+00,3.374842027392241484e+00,3.662667421745828378e+00,3.739482618462901087e+00,6.056738585732206540e-03,-3.706973296563919607e-01
3.400000000000000244e-01,5.000000000000000000e+00,1.664440764337728140e+00,1.107212981356128889e+00,1.107212981356128889e+00,4.038784625161540909e+00,4.038784625161540909e+00,4.756131296513259166e+00,3.335559235662271860e+00,4.651587625617201738e+00,6.371727984002348126e-03,9.817194291205461054e-02
3.599999999999999867e-01,5.000000000000000000e+00,1.546286414239967932e+00,1.188208383206512897e+00,1.188208383206512897e+00,4.049770092519205278e+00,4.049770092519205278e+00,4.148639298738181935e+00,3.453713585760032068e+00,4.236160229291085599e+00,6.658586078269303557e-03,-9.417951663117279937e-02
3.800000000000000044e-01,5.000000000000000000e+00,1.630556158303011038e+00,1.269876418999996037e+00,1.269876418999996037e+00,4.083401789674159232e+00,4.083401789674159232e+00,4.386087064068749264e+00,3.369443841696988962e+00,4.386216253915240948e+00,6.955605446644666685e-03,-7.084795293136367245e-03
4.000000000000000222e-01,5.000000000000000000e+00,2.138236227251214316e+00,1.351856677948778174e+00,1.351856677948778174e+00,4.099012947439105048e+00,4.099012947439105048e+00,4.239513367323615611e+00,2.861763772748785684e+00,4.279193678955175884e+00,7.245377617030607925e-03,-4.692568924859091828e-02
4.199999999999999845e-01,5.000000000000000000e+00,2.036909449848637976e+00,1.432351428650446401e+00,1.432351428650446401e+00,4.024737535083416695e+00,4.024737535083416695e+00,3.356258823882225517e+00,2.963090550151362024e+00,3.634439991390957747e+00,7.491489301487003379e-03,-2.856726568102188613e-01
4.400000000000000022e-01,5.000000000000000000e+00,1.879799567443966479e+00,1.512039426660268582e+00,1.512039426660268582e+00,3.984399900491110813e+00,3.984399900491110813e+00,3.621361189160359650e+00,3.120200432556033299e+00,3.763124998692229717e+00,7.746315088800020433e-03,-1.495101246206702039e-01
4.600000000000000200e-01,5.000000000000000000e+00,-1.159772453730784747e+00,1.591647130540859045e+00,1.591647130540859045e+00,3.980385194029521845e+00,3.980385194029521845e+00,3.944252835875219354e+00,6.159772453730784747e+00,3.962654549346162458e+00,8.014652325999838817e-03,-2.641636579694275899e-02
4.799999999999999822e-01,5.000000000000000000e+00,1.738618598790366176e+00,1.681947405672354900e+00,1.681947405672354900e+00,4.515013756574798087e+00,4.515013756574798087e+00,9.326670819482282937e+00,3.261381401209633601e+00,7.822911016238096593e+00,8.544392757020687068e-03,1.495215410487166663e+00
5.000000000000000000e-01,5.000000000000000000e+00,2.130047503331421677e+00,1.770725715879259754e+00,1.770725715879259754e+00,4.438915510345242232e+00,4.438915510345242232e+00,3.754031294279242204e+00,2.869952496668578323e+00,4.141954379536234576e+00,8.824871557524715387e-03,-3.967479568145166891e-01
5.200000000000000178e-01,5.000000000000000000e+00,1.437126273420733735e+00,1.856988707453493648e+00,1.856988707453493648e+00,4.313149578711690246e+00,4.313149578711690246e+00,3.181256194009725480e+00,3.562873726579266265e+00,3.644839670769094653e+00,9.071687472238213965e-03,-4.726551642316073054e-01
5.400000000000000355e-01,5.000000000000000000e+00,1.853887896944849123e+00,1.943722287640107682e+00,1.943722287640107682e+00,4.336679009330699941e+00,4.336679009330699941e+00,4.548443884901788969e+00,3.146112103055150655e+00,4.524849632755667983e+00,9.378094612724031248e-03,1.421615753339744437e-02
5.600000000000000533e-01,5.000000000000000000e+00,1.623367590235921920e+00,2.029397739913844312e+00,2.029397739913844312e+00,4.283772613686829267e+00,4.283772613686829267e+00,3.807615052891996754e+00,3.376632409764078080e+00,3.995562370880041403e+00,9.648660253586774718e-03,-1.975959782416312482e-01
5.799999999999999600e-01,5.000000000000000000e+00,1.550591452940609294e+00,2.115055135238233408e+00,2.115055135238233408e+00,4.282869766219457475e+00,4.282869766219457475e+00,4.274744139013109567e+00,3.449408547059390706e+00,4.288323160400379308e+00,9.939050640826485247e-03,-2.351807202809613750e-02
5.999999999999999778e-01,5.000000000000000000e+00,1.724621951629492056e+00,2.200968319871173140e+00,2.200968319871173140e+00,4.295659231646981269e+00,4.295659231646981269e+00,4.410764420494698079e+00,3.275378048370507944e+00,4.380748854765426081e+00,1.023569977587359368e-02,1.977986595339839559e-02
6.199999999999999956e-01,5.000000000000000000e+00,1.275999279026931887e+00,2.286485038483896393e+00,2.286485038483896393e+00,4.275835930636172399e+00,4.275835930636172399e+00,4.097426221538894353e+00,3.724000720973068113e+00,4.159730121430545324e+00,1.051738228803345693e-02,-7.282128217968474038e-02
6.400000000000000133e-01,5.000000000000000000e+00,1.890027037148519051e+00,2.373275600746179936e+00,2.373275600746179936e+00,4.339528113114168306e+00,4.339528113114168306e+00,4.912757755416128802e+00,3.109972962851481171e+00,4.729480915635796201e+00,1.083764635003714102e-02,1.724391934302956231e-01
6.600000000000000311e-01,5.000000000000000000e+00,1.822558607943468578e+00,2.458938491539640836e+00,2.458938491539640836e+00,4.283144539673039652e+00,4.283144539673039652e+00,3.775692378702879992e+00,3.177441392056531200e+00,3.949665662821381318e+00,1.110510402484236880e-02,-1.850783881433434308e-01
6.800000000000000488e-01,5.000000000000000000e+00,1.753428247655628214e+00,2.543936639929635923e+00,2.543936639929635923e+00,4.249907419499748151e+00,4.249907419499748151e+00,3.950773337940128638e+00,3.246571752344372008e+00,4.035350567911794251e+00,1.137836398455923000e-02,-9.595559395622527132e-02
7.000000000000000666e-01,5.000000000000000000e+00,1.911117270045534333e+00,2.628639096877204651e+00,2.628639096877204651e+00,4.235122847378433697e+00,4.235122847378433697e+00,4.102061698286600055e+00,3.088882729954465667e+00,4.123146125477352264e+00,1.165756915526084542e-02,-3.274199634601318576e-02
7.199999999999999734e-01,5.000000000000000000e+00,1.572322710500002163e+00,2.712538019629056052e+00,2.712538019629056052e+00,4.194946137592572732e+00,4.194946137592572732e+00,3.833355749519826272e+00,3.427677289499997837e+00,3.922881067042171654e+00,1.192321307003692960e-02,-1.014485305923824715e-01
7.399999999999999911e-01,5.000000000000000000e+00,1.691554370462356349e+00,2.796973197846164272e+00,2.796973197846164272e+00,4.221758910855409219e+00,4.221758910855409219e+00,4.463073870220938488e+00,3.308445629537643651e+00,4.353150157664996911e+00,1.221799331693392866e-02,9.770571923900726874e-02
7.600000000000000089e-01,5.000000000000000000e+00,2.464638075128544159e+00,2.881411348453481569e+00,2.881411348453481569e+00,4.221907530365861305e+00,4.221907530365861305e+00,4.223245105959934520e+00,2.535361924871455841e+00,4.201725949512807645e+00,1.250251964107416611e-02,9.016636806052705233e-03
7.800000000000000266e-01,5.000000000000000000e+00,2.311397455250867150e+00,2.963113576332454535e+00,2.963113576332454535e+00,4.085111393948658964e+00,4.085111393948658964e+00,2.853946166193837009e+00,2.688602544749132850e+00,3.219909644586748776e+00,1.272056076661311208e-02,-3.786840391595246991e-01
8.000000000000000444e-01,5.000000000000000000e+00,2.487009082113290859e+00,3.043123005450938834e+00,3.043123005450938834e+00,4.000471455924220265e+00,4.000471455924220265e+00,3.238712013704276416e+00,2.512990917886709141e+00,3.414525231831398777e+00,1.295178058546153817e-02,-1.887649987125841478e-01
8.200000000000000622e-01,5.000000000000000000e+00,2.453069606166684125e+00,3.121101644206063064e+00,3.121101644206063064e+00,3.898931937756220822e+00,3.898931937756220822e+00,2.985076274244224503e+00,2.546930393833315875e+00,3.191498465716120503e+00,1.316789780439979463e-02,-2.195900892762959189e-01
8.399999999999999689e-01,5.000000000000000000e+00,2.816431625662353611e+00,3.197504773746704387e+00,3.197504773746704387e+00,3.820156477032057296e+00,3.820156477032057296e+00,3.111177330514583783e+00,2.183568374337646389e+00,3.234601600168311109e+00,1.338693381826945930e-02,-1.368112034719969894e-01
8.599999999999999867e-01,5.000000000000000000e+00,2.336649893710913695e+00,3.271287559189217653e+00,3.271287559189217653e+00,3.689139272125654845e+00,3.689139272125654845e+00,2.509984427968031895e+00,2.663350106289086305e+00,2.773131835408810808e+00,1.357472069846249636e-02,-2.767221281392412968e-01
8.800000000000000044e-01,5.000000000000000000e+00,2.710215157547486431e+00,3.344575034520697709e+00,3.344575034520697709e+00,3.664373766573998381e+00,3.664373766573998381e+00,3.441484216609091096e+00,2.289784842452513569e+00,3.382454634987139830e+00,1.380376880760335843e-02,4.522581281434817635e-02
9.000000000000000222e-01,5.000000000000000000e+00,3.398624654858620531e+00,3.416069062334626150e+00,3.416069062334626150e+00,3.574701390696416237e+00,3.574701390696416237e+00,2.767650007798176937e+00,1.601375345141379469e+00,2.908026749914692122e+00,1.400069030405427448e-02,-1.543774324205694770e-01
9.200000000000000400e-01,5.000000000000000000e+00,3.808334647254618233e+00,3.483607673296277518e+00,3.483607673296277518e+00,3.376930548082569317e+00,3.376930548082569317e+00,1.596992964557945038e+00,1.191665352745381767e+00,2.033746688329551855e+00,1.413840858373643233e-02,-4.508921323553434224e-01
