t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
0.000000000000000000e+00,5.000000000000000000e+00,1.270085999999999785e-02,1.270085999999999785e-02,1.270085999999999785e-02,6.350429999999999131e-01,6.350429999999999131e-01,6.350429999999999353e+00,4.987299140000000186e+00,6.349999999999999645e+00,4.299999999999999894e-04,0.000000000000000000e+00
2.000000000000000042e-02,5.000000000000000000e+00,3.678844157449208396e-02,3.678844157449208396e-02,3.678844157449208396e-02,1.204379078724604035e+00,1.204379078724604035e+00,6.328403787246040579e+00,4.963211558425507874e+00,6.333869907800000476e+00,8.589077260400000474e-04,-6.325028279999998782e-03
4.000000000000000083e-02,5.000000000000000000e+00,7.104354756693567752e-02,7.104354756693567752e-02,7.104354756693567752e-02,1.712755299622179983e+00,1.712755299622179983e+00,6.288141287700362625e+00,4.928956452433064683e+00,6.303278679200395196e+00,1.285743920064593739e-03,-1.642313542009705973e-02
5.999999999999999778e-02,5.000000000000000000e+00,1.143390011425082509e-01,1.143390011425082509e-01,1.143390011425082509e-01,2.164772678778628112e+00,2.164772678778628112e+00,6.232929091186661275e+00,4.885660998857491499e+00,6.259774694589991917e+00,1.709634174973837309e-03,-2.855523757830484913e-02
8.000000000000000167e-02,5.000000000000000000e+00,1.656356482952924258e-01,1.656356482952924258e-01,1.656356482952924258e-01,2.564832357639209359e+00,2.564832357639209359e+00,6.165369467384441471e+00,4.834364351704707907e+00,6.204789468549014586e+00,2.129801020875581388e-03,-4.154980218544853526e-02
1.000000000000000056e-01,5.000000000000000000e+00,2.239777461152145932e-01,2.239777461152145932e-01,2.239777461152145932e-01,2.917104890996108590e+00,2.917104890996108590e+00,6.087557691208201227e+00,4.776022253884785407e+00,6.139642726664979122e+00,2.545556355122186032e-03,-5.463059181190049740e-02
1.199999999999999956e-01,5.000000000000000000e+00,2.884880517085844920e-01,2.884880517085844920e-01,2.884880517085844920e-01,3.225515279668496049e+00,3.225515279668496049e+00,6.001208777719981846e+00,4.711511948291415841e+00,6.065548262433677174e+00,2.956294268956277758e-03,-6.729577898265158564e-02
1.400000000000000133e-01,5.000000000000000000e+00,3.583628237049238940e-01,3.583628237049238940e-01,3.583628237049238940e-01,3.493738599816971657e+00,3.493738599816971657e+00,5.907748481153253017e+00,4.641637176295075662e+00,5.983620174330098074e+00,3.361484296509339303e-03,-7.923317747335431593e-02
1.600000000000000033e-01,5.000000000000000000e+00,4.328668765382351902e-01,4.328668765382351902e-01,4.328668765382351902e-01,3.725202641665563696e+00,3.725202641665563696e+00,5.808379018302891161e+00,4.567133123461764477e+00,5.894879213894745895e+00,3.760665093670715990e-03,-9.026086068552503783e-02
1.799999999999999933e-01,5.000000000000000000e+00,5.113287778573111231e-01,5.113287778573111231e-01,5.113287778573111231e-01,3.923095065953794425e+00,3.923095065953794425e+00,5.704126884547872756e+00,4.488671222142689210e+00,5.800259066796440877e+00,4.153438542288427453e-03,-1.002856207908565528e-01
2.000000000000000111e-01,5.000000000000000000e+00,5.931362449544356208e-01,5.931362449544356208e-01,5.931362449544356208e-01,4.090373354856225774e+00,4.090373354856225774e+00,5.595877954978108804e+00,4.406863755045564268e+00,5.700612452121215590e+00,4.539464267392698260e-03,-1.092739614104994011e-01
2.200000000000000011e-01,5.000000000000000000e+00,6.777317724055605952e-01,6.777317724055605952e-01,6.777317724055605952e-01,4.229776372556250941e+00,4.229776372556250941e+00,5.484403531856475666e+00,4.322268227594439516e+00,5.596716968907866629e+00,4.918454550326616798e-03,-1.172318916017175833e-01
2.399999999999999911e-01,5.000000000000000000e+00,7.646085069553150149e-01,7.646085069553150149e-01,7.646085069553150149e-01,4.343836727487722982e+00,4.343836727487722982e+00,5.370379921870975792e+00,4.235391493044684985e+00,5.489280649044938620e+00,5.290169617899738268e-03,-1.241908967918625428e-01
2.600000000000000089e-01,5.000000000000000000e+00,8.533063747858800063e-01,8.533063747858800063e-01,8.533063747858800063e-01,4.434893391528247797e+00,4.434893391528247797e+00,5.254403367892970245e+00,4.146693625214119550e+00,5.378947196166749656e+00,5.654413286301581028e-03,-1.301982415600814735e-01
2.800000000000000266e-01,5.000000000000000000e+00,9.434084590847651164e-01,9.434084590847651164e-01,9.434084590847651164e-01,4.505104214944255503e+00,4.505104214944255503e+00,5.137001625688323081e+00,4.056591540915235328e+00,5.266300904021932183e+00,6.011028938069995671e-03,-1.353103072716783928e-01
2.999999999999999889e-01,5.000000000000000000e+00,1.034537621153165610e+00,1.034537621153165610e+00,1.034537621153165610e+00,4.556458103420021999e+00,4.556458103420021999e+00,5.018643099701918686e+00,3.965462378846834390e+00,5.151871256962349044e+00,6.359895810588706358e-03,-1.395880530710196521e-01
