t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
2.000000000000000111e-01,5.000000000000000000e+00,8.735192438266142778e-01,5.799547539012216424e-01,5.799547539012216424e-01,3.932302486158045340e+00,4.954880918811245039e+00,5.218095279078534432e+00,4.126480756173386055e+00,5.366484535678005763e+00,4.421223229856641700e-03,-1.528104798293276056e-01
2.200000000000000011e-01,5.000000000000000000e+00,9.732441876112641888e-01,6.609143760742328677e-01,6.609143760742328677e-01,4.047981108650560600e+00,4.986247189232495103e+00,5.089088711083198824e+00,4.026755812388735478e+00,5.240630560340200361e+00,4.776100574887552630e-03,-1.563179498318893190e-01
2.399999999999999911e-01,5.000000000000000000e+00,1.074401479458678477e+00,7.436980694227857125e-01,7.436980694227857125e-01,4.139184667427641351e+00,5.057864592370719059e+00,4.960016696421369886e+00,3.925598520541321523e+00,5.113979881733694555e+00,5.122401574752983439e-03,-1.590855868870781897e-01
2.600000000000000089e-01,5.000000000000000000e+00,1.194897007481775963e+00,8.278618612004313704e-01,8.278618612004313704e-01,4.208189588882280674e+00,6.024776401154873007e+00,4.829233881974031029e+00,3.805102992518223814e+00,4.985510121087478375e+00,5.460003047519536648e-03,-1.617362421609670475e-01
2.800000000000000266e-01,5.000000000000000000e+00,1.313673229883648430e+00,9.129393656001820734e-01,9.129393656001820734e-01,4.253875219987536482e+00,5.938811120093619778e+00,4.665045899934841422e+00,3.686326770116351348e+00,4.832480800498144546e+00,5.787241904876103994e-03,-1.732221424681794908e-01
2.999999999999999889e-01,5.000000000000000000e+00,1.438490479105946518e+00,9.985237859710998087e-01,9.985237859710998087e-01,4.279221018545884547e+00,6.240862461114902615e+00,4.507333205571013579e+00,3.561509520894053260e+00,4.681634998047766061e+00,6.104266007106110524e-03,-1.804060584838581283e-01
3.200000000000000067e-01,5.000000000000000000e+00,1.548481749057987633e+00,1.084231933137545623e+00,1.084231933137545623e+00,4.285407358322290250e+00,5.499563497602053097e+00,4.341084416309946015e+00,3.451518250942012145e+00,4.523117091535447720e+00,6.410555825902998842e-03,-1.884432310514051467e-01
3.400000000000000244e-01,5.000000000000000000e+00,1.666942752408589135e+00,1.169776164889186232e+00,1.169776164889186232e+00,4.277211587582034902e+00,5.923050167530079513e+00,4.203449650919739433e+00,3.333057247591410643e+00,4.383428178696355815e+00,6.707386395484011936e-03,-1.866859141721000925e-01
3.599999999999999867e-01,5.000000000000000000e+00,1.783323082410606997e+00,1.254866579494004375e+00,1.254866579494004375e+00,4.254520730240911597e+00,5.819016500100898881e+00,4.050303014170799187e+00,3.216676917589393003e+00,4.232982704441091926e+00,6.994029318776873519e-03,-1.896737195890696170e-01
3.800000000000000044e-01,5.000000000000000000e+00,1.904218619941050239e+00,1.339251395319978499e+00,1.339251395319978499e+00,4.219240791298706661e+00,6.044776876522167441e+00,3.901721340818864903e+00,3.095781380058949761e+00,4.085179685338529154e+00,7.270663533689561420e-03,-1.907290080533536325e-01
