t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
2.000000000000000111e-01,5.000000000000000000e+00,9.293170577681130196e-01,9.293170577681130196e-01,9.293170577681130196e-01,6.324189808547782121e+00,6.324189808547782121e+00,8.395137642857889659e+00,4.070682942231886869e+00,8.394333476805684313e+00,5.150843920483542115e-01,-5.142802259961495315e-01
2.200000000000000011e-01,5.000000000000000000e+00,1.059447344828934545e+00,1.059447344828934545e+00,1.059447344828934545e+00,6.506514353041074727e+00,6.506514353041074727e+00,8.147435253480709960e+00,3.940552655171065233e+00,8.141365884463773739e+00,5.557912214706730580e-01,-5.497218524537381690e-01
2.399999999999999911e-01,5.000000000000000000e+00,1.192357205845785195e+00,1.192357205845785195e+00,1.192357205845785195e+00,6.645493050842533833e+00,6.645493050842533833e+00,7.896301331055664896e+00,3.807642794154214805e+00,7.881105310342130466e+00,5.951967480223837592e-01,-5.800007273088489956e-01
2.600000000000000089e-01,5.000000000000000000e+00,1.327262467688212544e+00,1.327262467688212544e+00,1.327262467688212544e+00,6.745263092121368764e+00,6.745263092121368764e+00,7.643193463630884921e+00,3.672737532311787234e+00,7.615285588308429610e+00,6.332731759639258495e-01,-6.053653006414703164e-01
2.800000000000000266e-01,5.000000000000000000e+00,1.463455927371793086e+00,1.463455927371793086e+00,1.463455927371793086e+00,6.809672984179027111e+00,6.809672984179027111e+00,7.389362012697948678e+00,3.536544072628206692e+00,7.345475064623574468e+00,6.700005512870437219e-01,-6.261136032126702888e-01
2.999999999999999889e-01,5.000000000000000000e+00,1.600301809938006636e+00,1.600301809938006636e+00,1.600301809938006636e+00,6.842294128310673962e+00,6.842294128310673962e+00,7.135884425495499173e+00,3.399698190061993586e+00,7.073088145256413384e+00,7.053659920133258376e-01,-6.425697117742400488e-01
3.200000000000000067e-01,5.000000000000000000e+00,1.737230487711492133e+00,1.737230487711492133e+00,1.737230487711492133e+00,6.846433888674271273e+00,6.846433888674271273e+00,6.883691731946644410e+00,3.262769512288508089e+00,6.799396380123987171e+00,7.393629739139457868e-01,-6.550676220912883263e-01
3.400000000000000244e-01,5.000000000000000000e+00,1.873733476390608388e+00,1.873733476390608388e+00,1.873733476390608388e+00,6.825149433955815859e+00,6.825149433955815859e+00,6.633589341489717128e+00,3.126266523609391612e+00,6.525539024577016178e+00,7.719906690368308899e-01,-6.639403521241300510e-01
3.599999999999999867e-01,5.000000000000000000e+00,2.009358713505785321e+00,2.009358713505785321e+00,2.009358713505785321e+00,6.781261855758848434e+00,6.781261855758848434e+00,6.386273651986142497e+00,2.990641286494214679e+00,6.252533047218783224e+00,8.032533342729247794e-01,-6.695127295055653960e-01
3.800000000000000044e-01,5.000000000000000000e+00,2.143706118017044027e+00,2.143706118017044027e+00,2.143706118017044027e+00,6.717370225562927288e+00,6.717370225562927288e+00,6.142345553799635205e+00,2.856293881982955973e+00,5.981282572988429358e+00,8.331597471378668907e-01,-6.720967663266611547e-01
4.000000000000000222e-01,5.000000000000000000e+00,2.276423425290632796e+00,2.276423425290632796e+00,2.276423425290632796e+00,6.635865363679440243e+00,6.635865363679440243e+00,5.902321606728057724e+00,2.723576574709367204e+00,5.712587763965911947e+00,8.617226859576964104e-01,-6.719888431955508556e-01
