t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
3.800000000000000044e-01,5.160251768746056733e+00,2.345652770850420232e+00,1.287423818729685143e+00,1.287423818729685143e+00,4.030588952723153540e+00,4.781062632614367480e+00,3.669046054800237489e+00,2.814598997895636501e+00,3.790436523523740053e+00,7.034297679654725848e-03,-1.284247664031573644e-01
4.000000000000000222e-01,4.924929876379665394e+00,2.191779383794706604e+00,1.366191184581644569e+00,1.366191184581644569e+00,3.938368292597971276e+00,5.503025928035061298e+00,3.108382351471332239e+00,2.733150492584958791e+00,3.275681924022141533e+00,7.256115510730240699e-03,-1.745556880615395101e-01
4.199999999999999845e-01,5.101634555029831652e+00,2.269357791210097286e+00,1.444396738639677436e+00,1.444396738639677436e+00,3.910277702901647334e+00,6.181188365657593664e+00,3.657462395634733188e+00,2.832276763819734366e+00,3.695516067468608945e+00,7.506363055456461743e-03,-4.556003488933227374e-02
4.400000000000000022e-01,5.076632726995025102e+00,2.488296546130433384e+00,1.521786659063569802e+00,1.521786659063569802e+00,3.869496021194621882e+00,5.230394463689617801e+00,3.502460885831395032e+00,2.588336180864591718e+00,3.565239168446858287e+00,7.747788699933965198e-03,-7.052607131539714858e-02
4.600000000000000200e-01,4.875156458066774334e+00,2.844143358729746218e+00,1.597199318238953891e+00,1.597199318238953891e+00,3.770632958769200460e+00,6.137182828432176329e+00,2.880865396940408107e+00,2.031013099337028116e+00,3.031312088159153095e+00,7.953058652360490977e-03,-1.583997498711053886e-01
4.799999999999999822e-01,4.779143945350035949e+00,2.579091308135748939e+00,1.669425668849052080e+00,1.669425668849052080e+00,3.611317530504915219e+00,5.083666707837995347e+00,2.177478676126346269e+00,2.200052637214287010e+00,2.457450745007768056e+00,8.119468702809835847e-03,-2.880915375842315607e-01
5.000000000000000000e-01,4.701851731806364398e+00,2.549385775755816930e+00,1.739698463616236035e+00,1.739698463616236035e+00,3.513639738359201292e+00,5.142143929057644058e+00,2.634539609047775954e+00,2.152465956050547469e+00,2.695905738061681767e+00,8.302026099245508189e-03,-6.966815511315144205e-02
5.200000000000000178e-01,4.849366685081357708e+00,2.257883440065890035e+00,1.808734981358395499e+00,1.808734981358395499e+00,3.451825887107969670e+00,4.413292452609476335e+00,2.895501225846884630e+00,2.591483245015467674e+00,2.920975754843436967e+00,8.499824457447504797e-03,-3.397435345399987122e-02
5.400000000000000355e-01,4.492819314940975417e+00,2.581539779280582536e+00,1.876804740737918697e+00,1.876804740737918697e+00,3.403487968976155464e+00,4.127323741138763324e+00,2.968446705789828943e+00,1.911279535660392881e+00,2.838368561091358266e+00,8.692028942686762932e-03,1.213861157557836745e-01
5.600000000000000533e-01,4.864206200161326876e+00,2.902229288040068855e+00,1.943730852413236621e+00,1.943730852413236621e+00,3.346305583765895708e+00,4.737651852821857190e+00,2.831664116873559678e+00,1.961976912121258021e+00,2.898986354518545472e+00,8.888338254882506562e-03,-7.621057589986826586e-02
5.799999999999999600e-01,4.709588178482306375e+00,2.697786965887521760e+00,2.008147030488000695e+00,2.008147030488000695e+00,3.220808903738203277e+00,4.408912555609425077e+00,2.091338783488970066e+00,2.011801212594784616e+00,2.295345790861641699e+00,9.043771119460539479e-03,-2.130507784921319703e-01
