1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
0,0,0,0,0,0,-132,652,-350,265.68,0,0,0,0,0,38.6,0,0,0,0,
0,0,0,0,0,0,-132,652,-350,265.68,0,2.3,-1.19,87.39,0,38.6,0,0,0,0,
0,0,0,0,0,0,-132,652,-350,265.68,-1.32,2.3,-1.19,87.39,0,38.6,0,0,0,0,
0,0,0,0,0,0,-132,652,-350,265.68,-1.32,2.3,-1.19,87.39,0,38.6,0,0,0,0,
-24,53,1362,-2,0,0,-132,652,-350,265.68,-1.32,2.3,-1.19,87.39,0,38.6,0,0,0,0,
-24,53,1362,-2,0,0,-132,652,-350,265.68,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-24,53,1362,-2,0,0,-132,652,-350,265.68,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-26,55,1364,-4,1,2,-132,652,-350,265.68,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-26,55,1364,-4,1,2,-132,652,-350,265.68,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-132,652,-350,265.68,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-131,652,-335,265.67,-1.32,2.3,-1.19,87.4,0,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-131,652,-335,265.67,-1.32,2.29,-1.19,87.41,0,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-131,652,-335,265.67,-1.32,2.29,-1.19,87.41,0,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-131,652,-335,265.67,-1.32,2.29,-1.19,87.41,15.55,38.6,0,0,0,0,
-24,52,1364,-5,-1,1,-131,652,-335,265.67,-1.32,2.29,-1.19,87.41,15.55,38.6,0,0,0,0,
-24,52,1364,1,2,0,-131,652,-335,265.67,-1.32,2.29,-1.19,87.41,15.55,38.6,0,0,0,0,
-24,52,1364,1,2,0,-131,652,-335,265.67,-1.32,2.29,-1.19,87.42,15.55,38.6,0,0,0,0,
-24,52,1364,1,2,0,-131,652,-335,265.67,-1.32,2.29,-1.19,87.42,15.55,38.6,0,0,0,0,
-26,55,1364,2,0,0,-131,652,-335,265.67,-1.32,2.29,-1.19,87.42,15.55,38.6,0,0,0,0,
-26,55,1364,2,0,0,-132,653,-344,265.68,-1.32,2.29,-1.19,87.42,15.55,38.6,0,0,0,0,
-26,55,1364,2,0,0,-132,653,-344,265.68,-1.32,2.29,-1.19,87.43,15.55,38.6,0,0,0,0,
-26,55,1364,2,0,0,-132,653,-344,265.68,-1.32,2.29,-1.19,87.43,15.55,38.6,0,0,0,0,
-26,55,1364,2,0,0,-132,653,-344,265.68,-1.32,2.29,-1.19,87.43,15.55,38.6,0,0,0,0,
-27,51,1361,-5,0,-2,-132,653,-344,265.68,-1.32,2.29,-1.19,87.43,15.55,38.6,0,0,0,0,
-27,51,1361,-5,0,-2,-132,653,-344,265.68,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-27,51,1361,-5,0,-2,-132,653,-344,265.68,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-26,55,1366,-1,0,1,-132,653,-344,265.68,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-26,55,1366,-1,0,1,-132,653,-344,265.68,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-27,52,1364,-1,0,1,-132,653,-344,265.68,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-27,52,1364,-1,0,1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.44,15.55,38.6,0,0,0,0,
-27,52,1364,-1,0,1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.45,15.55,38.6,0,0,0,0,
-27,52,1364,-1,0,1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.45,15.55,38.6,0,0,0,0,
-27,52,1364,-1,0,1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.45,15.55,38.6,0,0,0,0,
-25,52,1364,0,0,-1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.45,15.55,38.6,0,0,0,0,
-25,52,1364,0,0,-1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.46,15.55,38.6,0,0,0,0,
-25,52,1364,0,0,-1,-128,654,-332,265.67,-1.32,2.29,-1.19,87.46,15.55,38.6,0,0,0,0,
-23,51,1366,-1,0,0,-128,654,-332,265.67,-1.32,2.29,-1.19,87.46,15.55,38.6,0,0,0,0,
-23,51,1366,-1,0,0,-131,651,-334,265.67,-1.32,2.29,-1.19,87.46,15.55,38.6,0,0,0,0,
-23,51,1366,-1,0,0,-131,651,-334,265.67,-1.32,2.29,-1.19,87.47,15.55,38.6,0,0,0,0,
-23,51,1366,-1,0,0,-131,651,-334,265.67,-1.32,2.29,-1.19,87.47,15.55,38.6,0,0,0,0,
-23,51,1366,-1,0,0,-131,651,-334,265.67,-1.32,2.29,-1.19,87.47,15.55,38.6,0,0,0,0,
-26,52,1366,-3,-2,1,-131,651,-334,265.67,-1.32,2.29,-1.19,87.47,15.55,38.6,0,0,0,0,
-26,52,1366,-3,-2,1,-131,651,-334,265.67,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-26,52,1366,-3,-2,1,-131,651,-334,265.67,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-24,54,1366,0,0,0,-131,651,-334,265.67,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-24,54,1366,0,0,0,-131,651,-334,265.67,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-25,55,1364,-4,1,0,-131,651,-334,265.67,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-25,55,1364,-4,1,0,-137,654,-333,265.64,-1.32,2.28,-1.19,87.47,15.55,38.6,0,0,0,0,
-25,55,1364,-4,1,0,-137,654,-333,265.64,-1.32,2.28,-1.2,87.48,15.55,38.6,0,0,0,0,
-25,55,1364,-4,1,0,-137,654,-333,265.64,-1.32,2.28,-1.2,87.48,15.55,38.6,0,0,0,0,
-25,55,1364,-4,1,0,-137,654,-333,265.64,-1.32,2.28,-1.2,87.48,15.55,38.6,0,0,0,0,
-25,55,1365,0,-1,0,-137,654,-333,265.64,-1.32,2.28,-1.2,87.48,15.55,38.6,0,0,0,0,
-25,55,1365,0,-1,0,-137,654,-333,265.64,-1.32,2.28,-1.19,87.49,15.55,38.6,0,0,0,0,
-25,55,1365,0,-1,0,-137,654,-333,265.64,-1.32,2.28,-1.19,87.49,15.55,38.6,0,0,0,0,
-26,52,1362,-1,0,0,-137,654,-333,265.64,-1.32,2.28,-1.19,87.49,15.55,38.6,0,0,0,0,
-26,52,1362,-1,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.49,15.55,38.6,0,0,0,0,
-26,52,1362,-1,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.5,15.55,38.6,0,0,0,0,
-26,52,1362,-1,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.5,15.55,38.6,0,0,0,0,
-26,52,1362,-1,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.5,15.55,38.6,0,0,0,0,
-24,53,1366,-5,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.5,15.55,38.6,0,0,0,0,
-24,53,1366,-5,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.51,15.55,38.6,0,0,0,0,
-24,53,1366,-5,0,0,-129,650,-332,265.66,-1.32,2.28,-1.19,87.51,15.55,38.6,0,0,0,0,
-26,51,1365,-4,0,-1,-129,650,-332,265.66,-1.32,2.28,-1.19,87.51,15.55,38.6,0,0,0,0,
