1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
-29,53,1366,1,-2,-1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-29,53,1366,1,-2,-1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-29,53,1366,1,-2,-1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-24,48,1363,0,3,1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-24,48,1363,0,3,1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-24,48,1363,0,3,1,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-30,49,1366,0,-1,0,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-30,49,1366,0,-1,0,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,627,-324,265.46,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,630,-334,265.41,-1.37,1.9,-1.08,90.22,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-29,49,1367,4,1,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-28,51,1364,1,2,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-28,51,1364,1,2,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,51,1364,1,2,0,-103,630,-334,265.41,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,51,1363,0,-1,-2,-103,630,-334,265.41,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,51,1363,0,-1,-2,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,51,1363,0,-1,-2,-110,641,-326,265.45,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-28,51,1363,0,-1,-2,-110,641,-326,265.45,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-28,51,1363,0,-1,-2,-110,641,-326,265.45,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-29,48,1364,0,0,0,-110,641,-326,265.45,-1.37,1.91,-1.08,90.14,15.47,40.3,0,0,0,0,
-29,48,1364,0,0,0,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,48,1364,0,0,0,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,51,1364,-5,1,1,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
